"General", "Generali"
"Attributes", "Attributi"
"Enable Rich Snippets", "Abilita Rich snippets"
"Enable Review & Rating data", "Abilita Recensioni & Valutazioni"
"If you are not using reviews in your project, please disable this option for better performance.", "Se sai di non usare le recensioni nel tuo progetto di ecommerce, disabilita questa opzione per migliorare le performance."
"If you're using different attributes for the ones listed below, please select them here so I could show the right content for the search engines.", "Se usi attributi diversi da quelli elencati, selezionali qua così posso mostrare ai motori di ricerca il contenuto corretto."
"Attribute for 'Manufacturer'", "Attributo per 'Manufacturer'"
"Attribute for 'Color'", "Attributo per 'Color'"
"Attribute for 'Model'", "Attributo per 'Model'"
