"General", "Algemeen"
"Attributes", "Attributen"
"Enable Rich Snippets", "Rich snippets inschakelen"
"Enable Review & Rating data", "Review & Beoordeling data inschakelen"
"If you are not using reviews in your project, please disable this option for better performance.", "Schakel deze uit wanneer je geen gebruik maakt van (product)reviews"
"If you're using different attributes for the ones listed below, please select them here so I could show the right content for the search engines.", "Wanneer je andere attributen gebruikt dan hieronder, selecteer deze dan om de juiste content aan de zoekmachines te geven."
"Attribute for 'Manufacturer'", "Attribute voor 'Fabrikant/Merk'"
"Attribute for 'Color'", "Attribute voor 'Kleur'"
"Attribute for 'Model'", "Attribute voor 'Model'"
